,main1,main2,main3,main4,main5,main6,bonus,times,date
1,02,08,10,13,27,30,39,第1回,2000年10月5日
2,01,09,16,20,21,43,05,第2回,2000年10月12日
3,01,05,15,31,36,38,13,第3回,2000年10月19日
4,16,18,26,27,34,40,13,第4回,2000年10月26日
5,09,15,21,23,27,28,43,第5回,2000年11月2日
6,06,12,23,25,28,38,22,第6回,2000年11月9日
7,07,19,21,23,33,35,26,第7回,2000年11月16日
8,11,16,18,20,42,43,28,第8回,2000年11月23日
9,11,19,23,38,39,42,15,第9回,2000年11月30日
10,01,03,19,21,35,39,26,第10回,2000年12月7日
11,12,26,32,37,40,42,16,第11回,2000年12月14日
12,14,17,27,28,35,39,22,第12回,2000年12月21日
13,13,29,31,37,41,42,17,第13回,2000年12月28日
14,02,08,11,35,37,38,43,第14回,2001年1月4日
15,04,06,11,20,21,28,36,第15回,2001年1月11日
16,05,12,13,29,34,35,30,第16回,2001年1月18日
17,14,20,25,34,35,36,11,第17回,2001年1月25日
18,06,16,18,27,36,41,33,第18回,2001年2月1日
19,04,08,12,30,33,43,14,第19回,2001年2月8日
20,07,29,33,35,37,39,19,第20回,2001年2月15日
21,05,07,13,19,38,41,42,第21回,2001年2月22日
22,08,12,16,19,20,35,41,第22回,2001年3月1日
23,07,10,28,32,33,40,13,第23回,2001年3月8日
24,15,18,19,30,36,38,13,第24回,2001年3月15日
25,11,32,34,37,40,43,08,第25回,2001年3月22日
26,03,04,11,12,13,43,22,第26回,2001年3月29日
27,04,08,20,30,33,38,10,第27回,2001年4月5日
28,06,11,15,20,31,41,07,第28回,2001年4月12日
29,08,12,20,35,37,40,33,第29回,2001年4月19日
30,04,16,17,19,26,37,08,第30回,2001年4月26日
31,07,18,22,25,28,43,04,第31回,2001年5月3日
32,03,06,07,23,29,41,33,第32回,2001年5月10日
33,08,17,22,25,29,41,13,第33回,2001年5月17日
34,02,20,25,30,37,40,10,第34回,2001年5月24日
35,03,05,13,30,32,41,28,第35回,2001年5月31日
36,01,16,20,23,30,40,17,第36回,2001年6月7日
37,03,05,09,17,21,41,26,第37回,2001年6月14日
38,02,09,26,27,34,43,42,第38回,2001年6月21日
39,10,18,22,25,39,42,17,第39回,2001年6月28日
40,05,17,25,34,38,39,02,第40回,2001年7月5日
41,18,21,27,33,36,38,23,第41回,2001年7月12日
42,04,15,21,24,33,37,09,第42回,2001年7月19日
43,01,02,03,15,24,26,27,第43回,2001年7月26日
44,03,16,24,31,34,42,36,第44回,2001年8月2日
45,07,09,28,32,36,38,08,第45回,2001年8月9日
46,11,14,21,24,25,42,41,第46回,2001年8月16日
47,03,11,14,25,27,31,22,第47回,2001年8月23日
48,02,05,28,30,33,40,26,第48回,2001年8月30日
49,02,13,21,31,32,41,35,第49回,2001年9月6日
50,05,13,15,25,27,39,40,第50回,2001年9月13日
51,07,15,24,37,38,41,34,第51回,2001年9月20日
52,01,16,24,25,36,42,21,第52回,2001年9月27日
53,02,15,23,37,40,43,25,第53回,2001年10月4日
54,14,25,26,31,37,42,07,第54回,2001年10月11日
55,11,12,13,14,37,39,28,第55回,2001年10月18日
56,10,13,25,31,32,42,40,第56回,2001年10月25日
57,02,14,22,27,35,42,34,第57回,2001年11月1日
58,04,08,09,13,16,25,28,第58回,2001年11月8日
59,09,15,17,30,32,41,31,第59回,2001年11月15日
60,20,21,23,28,30,42,29,第60回,2001年11月22日
61,04,08,22,25,27,28,06,第61回,2001年11月29日
62,02,03,09,12,15,30,42,第62回,2001年12月6日
63,11,16,20,28,34,40,22,第63回,2001年12月13日
64,02,14,19,22,32,41,09,第64回,2001年12月20日
65,02,10,22,23,31,43,28,第65回,2001年12月27日
66,07,15,17,30,33,35,14,第66回,2002年1月10日
67,01,04,06,11,18,25,03,第67回,2002年1月17日
68,16,23,30,35,37,39,38,第68回,2002年1月24日
69,01,09,31,35,40,41,14,第69回,2002年1月31日
70,06,11,20,23,24,31,17,第70回,2002年2月7日
71,01,10,11,13,19,20,03,第71回,2002年2月14日
72,10,12,24,29,33,37,34,第72回,2002年2月21日
73,01,06,15,19,27,36,25,第73回,2002年2月28日
74,03,14,27,28,40,43,39,第74回,2002年3月7日
75,02,04,09,19,23,31,18,第75回,2002年3月14日
76,01,10,12,16,20,35,29,第76回,2002年3月21日
77,05,10,15,28,37,38,13,第77回,2002年3月28日
78,05,14,23,32,33,43,37,第78回,2002年4月4日
79,20,22,27,32,36,43,23,第79回,2002年4月11日
80,01,04,12,16,19,34,18,第80回,2002年4月18日
81,01,11,15,23,26,27,41,第81回,2002年4月25日
82,10,12,19,25,26,39,28,第82回,2002年5月2日
83,01,16,21,28,35,37,30,第83回,2002年5月9日
84,17,19,26,28,35,37,40,第84回,2002年5月16日
85,05,13,18,22,23,32,28,第85回,2002年5月23日
86,03,07,16,24,29,36,26,第86回,2002年5月30日
87,03,08,12,36,39,41,10,第87回,2002年6月6日
88,05,06,08,20,21,26,30,第88回,2002年6月13日
89,03,13,23,30,35,43,21,第89回,2002年6月20日
90,13,15,17,18,30,32,09,第90回,2002年6月27日
91,13,15,17,26,41,43,06,第91回,2002年7月4日
92,05,17,20,24,28,40,16,第92回,2002年7月11日
93,10,23,33,36,37,41,28,第93回,2002年7月18日
94,11,16,17,18,29,40,09,第94回,2002年7月25日
95,02,03,12,15,25,27,33,第95回,2002年8月1日
96,01,13,15,34,36,43,37,第96回,2002年8月8日
97,04,10,17,34,35,42,43,第97回,2002年8月15日
98,07,16,34,37,38,39,08,第98回,2002年8月22日
99,05,09,12,28,29,39,27,第99回,2002年8月29日
100,06,08,11,14,31,33,23,第100回,2002年9月5日
101,21,27,29,30,36,40,23,第101回,2002年9月12日
102,04,05,18,27,35,36,41,第102回,2002年9月19日
103,01,16,17,27,29,34,39,第103回,2002年9月26日
104,01,11,17,26,28,35,12,第104回,2002年10月3日
105,01,09,14,22,25,34,18,第105回,2002年10月10日
106,08,11,21,22,25,27,26,第106回,2002年10月17日
107,04,05,11,12,28,32,37,第107回,2002年10月24日
108,09,22,23,25,34,37,08,第108回,2002年10月31日
109,02,05,12,18,30,41,24,第109回,2002年11月7日
110,05,06,08,19,37,41,09,第110回,2002年11月14日
111,11,15,21,31,32,43,24,第111回,2002年11月21日
112,16,18,23,25,29,30,41,第112回,2002年11月28日
113,03,17,27,29,30,42,06,第113回,2002年12月5日
114,07,13,14,29,38,42,09,第114回,2002年12月12日
115,08,09,11,27,37,39,18,第115回,2002年12月19日
116,08,10,15,16,26,31,42,第116回,2002年12月26日
117,05,07,19,20,38,43,04,第117回,2003年1月9日
