,main1,main2,main3,main4,main5,main6,bonus,times,date
1,05,08,18,25,40,43,(17),第1667回,2022年2月28日
2,14,16,26,37,41,43,(31),第1666回,2022年2月24日
3,19,22,24,29,34,41,(09),第1665回,2022年2月21日
4,07,10,17,20,21,27,(15),第1664回,2022年2月17日
5,01,06,19,21,27,39,(03),第1663回,2022年2月14日
6,04,17,18,25,26,27,(32),第1662回,2022年2月10日
7,06,14,31,35,38,43,(12),第1661回,2022年2月7日
8,03,13,29,35,42,43,(15),第1660回,2022年2月3日
9,05,13,21,27,31,36,(11),第1676回,2022年3月31日
10,02,03,17,27,28,34,(06),第1675回,2022年3月28日
11,14,19,25,29,33,43,(31),第1674回,2022年3月24日
12,24,33,35,36,41,43,(21),第1673回,2022年3月21日
13,06,17,22,27,37,42,(34),第1672回,2022年3月17日
14,16,27,37,38,39,43,(10),第1671回,2022年3月14日
15,01,16,20,23,32,37,(18),第1670回,2022年3月10日
16,02,04,13,14,22,29,(26),第1669回,2022年3月7日
17,05,16,21,24,31,34,(29),第1668回,2022年3月3日
18,05,10,26,30,34,40,(31),第1684回,2022年4月28日
19,06,15,28,30,32,43,(21),第1683回,2022年4月25日
20,06,09,10,21,33,41,(14),第1682回,2022年4月21日
21,01,07,11,13,15,42,(33),第1681回,2022年4月18日
22,04,19,29,32,35,42,(25),第1680回,2022年4月14日
23,10,12,13,21,31,41,(27),第1679回,2022年4月11日
24,03,15,17,21,22,23,(13),第1678回,2022年4月7日
25,11,20,26,31,34,38,(32),第1677回,2022年4月4日
26,07,08,21,23,34,36,(11),第1693回,2022年5月30日
27,04,08,17,31,37,42,(14),第1692回,2022年5月26日
28,13,16,18,29,33,41,(26),第1691回,2022年5月23日
29,08,16,21,23,29,37,(38),第1690回,2022年5月19日
30,04,07,21,22,34,42,(31),第1689回,2022年5月16日
31,02,04,10,24,34,42,(08),第1688回,2022年5月12日
32,20,21,23,26,29,35,(22),第1687回,2022年5月9日
33,07,08,09,23,25,41,(11),第1686回,2022年5月5日
34,01,26,27,28,33,37,(08),第1685回,2022年5月2日
35,02,06,07,18,27,38,(14),第1702回,2022年6月30日
36,05,08,27,30,33,39,(10),第1701回,2022年6月27日
37,11,19,20,27,31,35,(06),第1700回,2022年6月23日
38,04,06,16,27,39,42,(01),第1699回,2022年6月20日
39,06,16,18,33,42,43,(11),第1698回,2022年6月16日
40,02,03,11,12,22,35,(26),第1697回,2022年6月13日
41,02,04,13,18,32,35,(12),第1696回,2022年6月9日
42,03,08,14,18,28,37,(39),第1695回,2022年6月6日
43,02,12,14,26,32,37,(29),第1694回,2022年6月2日
44,01,02,21,27,32,37,(14),第1710回,2022年7月28日
45,03,04,07,20,22,41,(05),第1709回,2022年7月25日
46,01,20,29,35,40,41,(16),第1708回,2022年7月21日
47,14,16,28,34,35,36,(26),第1707回,2022年7月18日
48,13,15,32,35,37,38,(25),第1706回,2022年7月14日
49,03,06,09,28,37,41,(05),第1705回,2022年7月11日
50,01,05,18,26,39,40,(31),第1704回,2022年7月7日
51,14,22,23,30,33,38,(18),第1703回,2022年7月4日
52,04,11,15,16,35,39,(36),第1719回,2022年8月29日
53,01,06,09,15,18,38,(10),第1718回,2022年8月25日
54,15,21,23,24,33,36,(40),第1717回,2022年8月22日
55,02,26,27,32,38,42,(09),第1716回,2022年8月18日
56,02,06,15,16,32,37,(25),第1715回,2022年8月15日
57,11,15,20,26,33,42,(16),第1714回,2022年8月11日
58,06,32,38,39,40,42,(37),第1713回,2022年8月8日
59,01,05,15,24,25,28,(14),第1712回,2022年8月4日
60,03,32,33,34,35,40,(05),第1711回,2022年8月1日
61,04,08,14,18,26,38,(03),第1728回,2022年9月29日
62,03,13,16,22,33,42,(15),第1727回,2022年9月26日
63,09,14,16,21,27,43,(26),第1726回,2022年9月22日
64,02,10,16,17,20,28,(01),第1725回,2022年9月19日
65,06,09,24,26,33,37,(16),第1724回,2022年9月15日
66,06,10,15,16,30,38,(26),第1723回,2022年9月12日
67,02,05,30,33,36,42,(28),第1722回,2022年9月8日
68,07,08,14,17,22,39,(30),第1721回,2022年9月5日
69,01,05,18,25,32,38,(20),第1720回,2022年9月1日
70,12,14,22,24,29,33,(03),第1737回,2022年10月31日
71,06,09,25,26,27,32,(11),第1736回,2022年10月27日
72,01,21,24,33,40,41,(12),第1735回,2022年10月24日
73,05,06,11,19,28,35,(42),第1734回,2022年10月20日
74,22,24,25,27,29,39,(07),第1733回,2022年10月17日
75,03,18,19,34,38,42,(14),第1732回,2022年10月13日
76,03,07,19,21,32,35,(06),第1731回,2022年10月10日
77,04,08,16,21,22,26,(23),第1730回,2022年10月6日
78,11,15,24,25,28,31,(09),第1729回,2022年10月3日
79,07,09,10,21,39,40,(32),第1745回,2022年11月28日
80,01,08,21,25,26,35,(20),第1744回,2022年11月24日
81,03,17,18,19,20,42,(09),第1743回,2022年11月21日
82,16,20,22,29,33,40,(25),第1742回,2022年11月17日
83,04,14,17,19,22,42,(06),第1741回,2022年11月14日
84,14,21,24,27,31,38,(05),第1740回,2022年11月10日
85,01,07,12,36,37,39,(41),第1739回,2022年11月7日
86,07,12,20,31,33,43,(14),第1738回,2022年11月3日
87,03,06,07,19,35,39,(21),第1754回,2022年12月29日
88,01,02,04,09,22,25,(38),第1753回,2022年12月26日
89,02,05,15,20,22,36,(08),第1752回,2022年12月22日
90,01,12,21,24,29,42,(32),第1751回,2022年12月19日
91,03,15,18,21,34,40,(01),第1750回,2022年12月15日
92,01,04,13,17,31,34,(18),第1749回,2022年12月12日
93,08,11,23,28,36,39,(06),第1748回,2022年12月8日
94,01,09,11,14,15,40,(32),第1747回,2022年12月5日
95,03,11,14,22,27,32,(31),第1746回,2022年12月1日
96,01,06,07,20,37,40,(10),第1762回,2023年1月30日
97,05,07,13,21,23,30,(42),第1761回,2023年1月26日
98,08,14,18,38,39,42,(30),第1760回,2023年1月23日
99,01,10,25,27,28,33,(15),第1759回,2023年1月19日
100,07,14,28,32,42,43,(17),第1758回,2023年1月16日
101,06,12,15,35,36,39,(42),第1757回,2023年1月12日
102,19,25,29,36,37,41,(02),第1756回,2023年1月9日
103,04,11,13,26,27,36,(15),第1755回,2023年1月5日
